 iter   |   grad     |   value    |    e_min     |     S      | 
     5  | 7.018e-06  | 1.165e-10  |     0.20132  | 5.743e+00  | 
    25  | 4.164e-07  | 2.710e+03  |     0.05031  | 2.688e+02  | 
    18  | 9.215e-10  | 4.512e+04  |     0.16811  | 5.399e+02  | 
    15  | 2.973e-07  | 1.474e+05  |     0.27782  | 8.110e+02  | 
    14  | 3.653e-09  | 3.141e+05  |     0.38129  | 1.082e+03  | 
    13  | 1.991e-08  | 5.476e+05  |     0.47966  | 1.353e+03  | 
    12  | 2.451e-06  | 8.491e+05  |     0.57388  | 1.624e+03  | 
    12  | 3.979e-09  | 1.220e+06  |     0.66470  | 1.895e+03  | 
    12  | 3.911e-09  | 1.660e+06  |     0.75269  | 2.167e+03  | 
    11  | 3.278e-07  | 2.170e+06  |     0.83826  | 2.438e+03  | 
    11  | 7.848e-09  | 2.750e+06  |     0.92175  | 2.709e+03  | 
    11  | 6.171e-09  | 3.402e+06  |     1.00343  | 2.980e+03  | 
    11  | 3.516e-09  | 4.124e+06  |     1.08350  | 3.251e+03  | 
    10  | 2.501e-06  | 4.918e+06  |     1.16215  | 3.522e+03  | 
    10  | 3.526e-07  | 5.783e+06  |     1.23951  | 3.793e+03  | 
    10  | 4.992e-08  | 6.719e+06  |     1.31571  | 4.064e+03  | 
    10  | 9.628e-09  | 7.728e+06  |     1.39085  | 4.335e+03  | 
    10  | 3.501e-09  | 8.808e+06  |     1.46503  | 4.606e+03  | 
    10  | 2.388e-09  | 9.960e+06  |     1.53833  | 4.878e+03  | 
    10  | 7.753e-09  | 1.118e+07  |     1.61080  | 5.149e+03  | 
    10  | 1.009e-08  | 1.248e+07  |     1.68251  | 5.420e+03  | 
    10  | 6.739e-09  | 1.385e+07  |     1.75352  | 5.691e+03  | 
     9  | 4.816e-06  | 1.529e+07  |     1.82387  | 5.962e+03  | 
     9  | 1.968e-06  | 1.680e+07  |     1.89361  | 6.233e+03  | 
     9  | 8.087e-07  | 1.839e+07  |     1.96276  | 6.504e+03  | 
     9  | 3.357e-07  | 2.004e+07  |     2.03137  | 6.775e+03  | 
     9  | 1.395e-07  | 2.177e+07  |     2.09947  | 7.046e+03  | 
     9  | 5.852e-08  | 2.358e+07  |     2.16708  | 7.318e+03  | 
     9  | 2.766e-08  | 2.545e+07  |     2.23424  | 7.589e+03  | 
